,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
1412,2001,13,Stutter,"Joe,Mystikal,",https://www.youtube.com/watch?v=eGY_Qqr2Lm0,Experimental,Rock,Rock
1443,2001,44,Kryptonite,3 Doors Down,https://www.youtube.com/watch?v=b1qlLf_LW6o,Experimental,Rock,Rock
1446,2001,47,Jaded,Aerosmith,https://www.youtube.com/watch?v=qbexOeoH5hg,Experimental,Rock,Rock
1447,2001,48,Promise,Jagged Edge,https://www.youtube.com/watch?v=lXd1GHJPx-A,Experimental,Rock,Rock
1457,2002,8,What's Luv?,"Fat Joe,Ashanti,",https://www.youtube.com/watch?v=VpvyG2NrS1Y,Experimental,Classical,Classical
1464,2002,15,I Need a Girl (Part One),"P. Diddy,Usher,Loon,",https://www.youtube.com/watch?v=zXYb1OMhwBA,Classical,Experimental,Classical
1488,2002,39,A Moment Like This,Kelly Clarkson,https://www.youtube.com/watch?v=S7b8ADhadJU,Experimental,Classical,Classical
1451,2002,2,Foolish,Ashanti,https://www.youtube.com/watch?v=gUPrnu3BEU8,Experimental,Electronic,Electronic
1452,2002,3,Hot in Herre,Nelly,https://www.youtube.com/watch?v=GeZZr_p6vB8,Experimental,Electronic,Electronic
1453,2002,4,Dilemma,"Nelly,Kelly Rowland,",https://www.youtube.com/watch?v=8WYHDfJDPDc,Experimental,Electronic,Electronic
1455,2002,6,A Thousand Miles,Vanessa Carlton,https://www.youtube.com/watch?v=Cwkej79U3ek,Experimental,Electronic,Electronic
1461,2002,12,Always on Time,"Ja Rule,Ashanti,",https://www.youtube.com/watch?v=0tcDXJfAFVw,Electronic,Experimental,Electronic
1475,2002,26,Wasting My Time,Default,https://www.youtube.com/watch?v=UAocvKHUidg,Experimental,Electronic,Electronic
1479,2002,30,Oh Boy,"Cam'ron,Juelz Santana,",https://www.youtube.com/watch?v=9GvB9ySUJ3A,Electronic,Hip-Hop,Electronic
1481,2002,32,Hey Baby,"No Doubt,Bounty Killer,",https://www.youtube.com/watch?v=wt1YkGO2Ieo,Electronic,Hip-Hop,Electronic
1482,2002,33,Girlfriend,"'N Sync,Nelly,",https://www.youtube.com/watch?v=saxnXiBKEaY,Experimental,Electronic,Electronic
1485,2002,36,Don't Let Me Get Me,Pink,https://www.youtube.com/watch?v=asaCQOZpqUQ,Experimental,Electronic,Electronic
